                title                                              ctext
0    careless whisper  summarize: i feel so unsure as i take your han...
1  could you be loved  summarize: don't let them fool, ya or even try...
2            cruisin'  summarize: baby, let's cruise, away from here ...
3                easy  summarize: know it sounds funny but, i just ca...
4     for your babies  summarize: you've got that look again the one ...
FULL Dataset: (191814, 2)
TRAIN Dataset: (153451, 2)
TEST Dataset: (38363, 2)
Initiating Fine-Tuning for the model on our dataset
Epoch: 0, Loss:  6.086909770965576
Epoch: 0, Loss:  1.1801789999008179
Epoch: 0, Loss:  1.5315260887145996
Epoch: 0, Loss:  1.8020535707473755
Epoch: 0, Loss:  1.0448182821273804
Epoch: 0, Loss:  0.4825397729873657
Epoch: 0, Loss:  1.216357946395874
Epoch: 0, Loss:  1.794565200805664
Epoch: 0, Loss:  0.5040560960769653
Epoch: 0, Loss:  0.7498127818107605
Epoch: 0, Loss:  0.7989109754562378
Epoch: 0, Loss:  1.0968327522277832
Epoch: 0, Loss:  1.1646002531051636
Epoch: 0, Loss:  1.4088797569274902
Epoch: 0, Loss:  0.9711593985557556
Epoch: 0, Loss:  0.970251739025116
Epoch: 0, Loss:  0.7068728804588318
Epoch: 0, Loss:  0.40715593099594116
Epoch: 0, Loss:  0.9958986639976501
Epoch: 0, Loss:  1.2352056503295898
Epoch: 1, Loss:  1.086425542831421
Epoch: 1, Loss:  1.483521819114685
Epoch: 1, Loss:  0.5430606603622437
Epoch: 1, Loss:  1.5711133480072021
Epoch: 1, Loss:  0.8432455062866211
Epoch: 1, Loss:  0.757221519947052
Epoch: 1, Loss:  0.4397806227207184
Epoch: 1, Loss:  0.719737708568573
Epoch: 1, Loss:  1.2999345064163208
Epoch: 1, Loss:  0.35450610518455505
Epoch: 1, Loss:  1.6617103815078735
Epoch: 1, Loss:  0.957996666431427
Epoch: 1, Loss:  0.7346381545066833
Epoch: 1, Loss:  0.6133695244789124
Epoch: 1, Loss:  1.6119948625564575
Epoch: 1, Loss:  0.9353582262992859
Epoch: 1, Loss:  0.8451733589172363
Epoch: 1, Loss:  0.5667344331741333
Epoch: 1, Loss:  0.7413328289985657
Epoch: 1, Loss:  0.846228301525116
Epoch: 2, Loss:  1.5156497955322266
Epoch: 2, Loss:  0.7328678965568542
Epoch: 2, Loss:  1.9581044912338257
Epoch: 2, Loss:  0.9811410903930664
Epoch: 2, Loss:  0.9066938757896423
Epoch: 2, Loss:  1.3297386169433594
Epoch: 2, Loss:  0.5459396243095398
Epoch: 2, Loss:  0.4302416145801544
Epoch: 2, Loss:  0.7727544903755188
Epoch: 2, Loss:  0.6110353469848633
Epoch: 2, Loss:  0.5150821805000305
Epoch: 2, Loss:  1.247866153717041
Epoch: 2, Loss:  0.914006233215332
Epoch: 2, Loss:  1.5759673118591309
Epoch: 2, Loss:  1.3008184432983398
Epoch: 2, Loss:  1.0385600328445435
Epoch: 2, Loss:  0.36161839962005615
Epoch: 2, Loss:  1.0113890171051025
Epoch: 2, Loss:  0.8747674226760864
Epoch: 2, Loss:  0.43649500608444214
Epoch: 3, Loss:  0.350622296333313
Epoch: 3, Loss:  0.5126872062683105
Epoch: 3, Loss:  0.6095799803733826
Epoch: 3, Loss:  0.8595955967903137
Epoch: 3, Loss:  0.515507698059082
Epoch: 3, Loss:  0.47698140144348145
Epoch: 3, Loss:  1.111958384513855
Epoch: 3, Loss:  0.6984617710113525
Epoch: 3, Loss:  0.1685529500246048
Epoch: 3, Loss:  0.7497243881225586
Epoch: 3, Loss:  1.3296051025390625
Epoch: 3, Loss:  1.0421736240386963
Epoch: 3, Loss:  1.4049155712127686
Epoch: 3, Loss:  1.163582444190979
Epoch: 3, Loss:  0.5492473244667053
Epoch: 3, Loss:  1.2883285284042358
Epoch: 3, Loss:  0.5219095349311829
Epoch: 3, Loss:  0.9307979345321655
Epoch: 3, Loss:  0.7513827681541443
Epoch: 3, Loss:  1.1533266305923462
Epoch: 4, Loss:  0.37600162625312805
Epoch: 4, Loss:  0.9027859568595886
Epoch: 4, Loss:  0.315134197473526
Epoch: 4, Loss:  0.26395487785339355
